trial,big size,big L,small L,agreement,posi
1,22,5,5,.,
2,22,8,5,T,
3,22,5,8,F,
4,22,8,5,T,
5,22,5,8,F,
6,22,8,8,.,
7,21,5,5,.,
8,21,8,5,T,
9,21,5,8,F,
10,21,8,8,.,
11,21,8,5,T,
12,21,5,8,F,
13,23,5,5,.,
14,23,8,5,T,
15,23,5,8,F,
16,23,8,5,T,
17,23,5,8,F,
18,23,8,8,.,
19,22,5,5,.,
20,22,8,5,T,
21,22,5,8,F,
22,22,8,5,T,
23,22,5,8,F,
24,22,8,8,.,
25,21,5,5,.,
26,21,8,5,T,
27,21,5,8,F,
28,21,8,8,.,
29,21,8,5,T,
30,21,5,8,F,
31,23,5,5,.,
32,23,8,5,T,
33,23,5,8,F,
34,23,8,5,T,
35,23,5,8,F,
36,23,8,8,.,
37,22,5,5,.,
38,22,8,5,T,
39,22,5,8,F,
40,22,8,5,T,
41,22,5,8,F,
42,22,8,8,.,
43,21,5,5,.,
44,21,8,5,T,
45,21,5,8,F,
46,21,8,8,.,
47,21,8,5,T,
48,21,5,8,F,
49,23,5,5,.,
50,23,8,5,T,
51,23,5,8,F,
52,23,8,5,T,
53,23,5,8,F,
54,23,8,8,.,
55,22,5,5,.,
56,22,8,5,T,
57,22,5,8,F,
58,22,8,5,T,
59,22,5,8,F,
60,22,8,8,.,
61,21,5,5,.,
62,21,8,5,T,
63,21,5,8,F,
64,21,8,8,.,
65,21,8,5,T,
66,21,5,8,F,
67,23,5,5,.,
68,23,8,5,T,
69,23,5,8,F,
70,23,8,5,T,
71,23,5,8,F,
72,23,8,8,.,